Date,Open,High,Low,Close,Volume
2021-11-19,1265.5,1277.25,1257.0,1263.25,78709
2021-11-22,1264.25,1279.5,1260.0,1274.25,70634
2021-11-23,1274.25,1279.25,1263.0,1273.0,65548
2021-11-24,1273.75,1281.0,1263.25,1266.5,72906
2021-11-26,1252.0,1254.0,1240.25,1252.75,88520
2021-11-29,1260.75,1268.5,1240.75,1241.5,82284
2021-11-30,1241.5,1244.75,1214.25,1217.25,132640
2021-12-01,1222.0,1237.0,1216.25,1228.25,105476
2021-12-02,1229.75,1249.0,1221.0,1244.25,94962
2021-12-03,1244.5,1270.0,1244.25,1267.25,94245
2021-12-06,1271.75,1274.75,1254.5,1261.5,75260
2021-12-07,1262.25,1268.5,1243.0,1250.25,171655
2021-12-08,1252.25,1264.0,1238.25,1261.0,122041
2021-12-09,1260.25,1267.0,1247.0,1264.5,102868
2021-12-10,1264.25,1276.5,1259.25,1267.75,112572
2021-12-13,1271.0,1271.0,1243.25,1244.0,116561
2021-12-14,1246.0,1267.0,1237.5,1259.5,102492
2021-12-15,1260.0,1266.5,1251.0,1262.5,91939
2021-12-16,1262.0,1280.75,1258.75,1277.25,115189
2021-12-17,1276.25,1297.5,1274.75,1285.25,122742
2021-12-20,1289.5,1296.25,1278.5,1292.25,83928
2021-12-21,1292.0,1313.5,1286.5,1308.0,81517
2021-12-22,1306.0,1333.25,1304.75,1328.75,68991
2021-12-23,1326.0,1334.0,1321.0,1332.0,60005
2021-12-27,1337.5,1363.5,1333.75,1362.5,54478
2021-12-28,1360.5,1375.75,1354.0,1359.25,40328
2021-12-29,1359.5,1364.25,1345.5,1356.5,51167
2021-12-30,1354.75,1358.0,1323.25,1327.75,16224
2021-12-31,1328.5,1337.75,1328.0,1328.75,2572
2022-01-03,1340.25,1357.0,1332.0,1344.0,3434
2022-01-04,1346.0,1380.5,1346.0,1378.75,2450
2022-01-05,1377.75,1387.75,1372.0,1384.25,1101
2022-01-06,1380.0,1382.0,1363.0,1377.25,691
2022-01-07,1373.5,1405.5,1368.0,1401.5,254
2022-01-10,1394.0,1396.0,1374.75,1374.75,73
2022-01-11,1378.0,1382.0,1365.5,1376.75,57
2022-01-12,1373.5,1391.75,1370.0,1391.25,293
2022-01-13,1368.0,1370.0,1359.25,1365.25,415
2022-01-14,1356.75,1356.75,1356.75,1356.75,86045
2022-01-18,1360.0,1368.75,1349.75,1361.25,124254
2022-01-19,1363.5,1392.5,1363.5,1391.25,107595
2022-01-20,1388.25,1429.5,1387.5,1425.75,149817
2022-01-21,1420.0,1426.0,1405.25,1414.25,104361
2022-01-24,1419.5,1423.75,1382.5,1403.0,134866
2022-01-25,1405.0,1413.75,1393.25,1407.25,107870
2022-01-26,1405.75,1443.75,1393.75,1440.0,139954
2022-01-27,1436.0,1456.5,1428.5,1448.25,143879
2022-01-28,1446.5,1479.0,1441.5,1470.0,148673
2022-01-31,1474.0,1496.75,1473.5,1490.5,111725
2022-02-01,1490.0,1539.0,1485.0,1528.5,157814
2022-02-02,1528.0,1564.0,1526.0,1545.25,175949
2022-02-03,1544.0,1560.0,1529.0,1544.25,133829
2022-02-04,1544.5,1560.25,1532.0,1553.5,116119
2022-02-07,1571.0,1589.5,1565.25,1581.75,178009
2022-02-08,1585.0,1586.5,1559.0,1569.0,176069
2022-02-09,1570.5,1599.5,1566.5,1594.75,190630
2022-02-10,1594.75,1633.0,1565.5,1574.25,255540
2022-02-11,1573.0,1594.75,1563.5,1583.0,184659
2022-02-14,1587.0,1599.5,1551.5,1570.0,125494
2022-02-15,1569.25,1577.0,1542.25,1551.25,147743
2022-02-16,1552.25,1589.75,1547.0,1587.5,100187
2022-02-17,1585.25,1606.0,1576.5,1592.0,114032
2022-02-18,1590.5,1608.5,1587.5,1601.5,107148
2022-02-22,1609.0,1641.25,1602.25,1635.0,117091
2022-02-23,1637.5,1679.5,1636.5,1675.0,98545
2022-02-24,1676.25,1765.0,1656.0,1661.5,70087
2022-02-25,1661.5,1678.5,1585.5,1590.25,26189
2022-02-28,1642.5,1660.75,1621.0,1644.25,4729
2022-03-01,1648.25,1709.0,1648.25,1705.5,1432
2022-03-02,1708.0,1708.0,1668.0,1677.5,1342
2022-03-03,1690.25,1707.5,1680.25,1680.25,1585
2022-03-04,1684.0,1700.25,1659.25,1676.25,305
2022-03-07,1696.5,1706.25,1674.25,1674.25,298
2022-03-08,1674.5,1708.0,1674.25,1704.5,243
2022-03-09,1727.75,1745.25,1684.5,1686.5,566
2022-03-10,1687.75,1716.25,1681.25,1700.0,223
2022-03-11,1706.5,1707.25,1680.75,1690.75,333
2022-03-14,1708.0,1710.0,1687.25,1687.25,73458
2022-03-15,1674.0,1674.0,1638.0,1658.75,70449
2022-03-16,1661.0,1681.25,1645.25,1649.25,65232
2022-03-17,1649.25,1677.5,1647.25,1668.5,74317
2022-03-18,1669.75,1689.0,1651.5,1668.0,67110
2022-03-21,1673.0,1710.0,1666.75,1691.0,82394
2022-03-22,1692.75,1720.75,1686.0,1696.5,80750
2022-03-23,1695.5,1736.5,1691.0,1718.75,75495
2022-03-24,1722.25,1730.0,1697.5,1700.75,72414
2022-03-25,1702.0,1714.25,1684.75,1710.25,64501
2022-03-28,1703.0,1710.0,1661.0,1664.25,76627
2022-03-29,1662.5,1673.0,1622.0,1643.0,107185
2022-03-30,1644.0,1683.75,1638.75,1664.0,67718
2022-03-31,1666.75,1680.0,1613.5,1618.25,96368
2022-04-01,1620.75,1628.5,1580.75,1582.75,102861
2022-04-04,1584.0,1606.0,1576.75,1602.25,71525
2022-04-05,1605.0,1635.25,1604.25,1631.0,66277
2022-04-06,1630.0,1643.0,1615.0,1619.5,75082
2022-04-07,1620.0,1652.75,1614.75,1645.5,114549
2022-04-08,1647.75,1689.75,1645.5,1689.0,116406
2022-04-11,1691.0,1697.5,1651.5,1655.25,113893
2022-04-12,1658.75,1682.75,1657.0,1670.25,104828
2022-04-13,1672.25,1681.25,1652.0,1676.0,117939
2022-04-14,1678.5,1692.5,1670.0,1682.25,78738
2022-04-18,1688.75,1720.5,1688.5,1714.75,83054
2022-04-19,1712.0,1730.0,1705.25,1716.5,71593
2022-04-20,1718.0,1750.0,1714.5,1746.75,89812
2022-04-21,1747.5,1752.75,1728.25,1748.25,86056
2022-04-22,1747.5,1757.5,1704.25,1716.0,85149
2022-04-25,1715.0,1723.25,1685.75,1703.5,76951
2022-04-26,1704.25,1726.25,1693.25,1705.25,59609
2022-04-27,1706.0,1735.5,1700.0,1726.5,49610
2022-04-28,1728.25,1734.0,1703.75,1706.5,26981
2022-04-29,1711.0,1727.75,1707.0,1708.25,3083
2022-05-02,1712.25,1712.25,1664.0,1674.0,1445
2022-05-03,1671.5,1688.0,1659.0,1659.0,706
2022-05-04,1659.5,1672.75,1652.5,1669.75,869
2022-05-05,1682.5,1699.5,1674.5,1678.5,843
2022-05-06,1671.0,1674.0,1654.0,1655.5,352
2022-05-09,1652.5,1652.5,1615.25,1621.0,309
2022-05-10,1626.0,1641.5,1623.5,1630.0,395
2022-05-11,1629.0,1658.0,1629.0,1650.25,319
2022-05-12,1641.5,1664.25,1635.5,1660.25,66
2022-05-13,1712.25,1723.25,1712.25,1723.25,83090
2022-05-16,1657.5,1668.0,1650.25,1656.5,63372
2022-05-17,1655.0,1684.25,1645.25,1678.0,76915
2022-05-18,1678.0,1686.75,1657.0,1662.75,86177
2022-05-19,1663.75,1697.0,1660.75,1690.5,102891
2022-05-20,1691.0,1710.75,1683.25,1705.25,90964
2022-05-23,1706.0,1720.0,1685.0,1687.0,87419
2022-05-24,1687.75,1696.75,1673.5,1693.0,78583
2022-05-25,1694.25,1697.75,1665.5,1681.0,82862
2022-05-26,1675.25,1737.0,1667.25,1726.5,144069
2022-05-27,1725.75,1744.25,1718.75,1732.25,93346
2022-05-31,1737.75,1749.25,1673.75,1683.25,147012
2022-06-01,1687.25,1706.5,1675.25,1690.25,104722
2022-06-02,1690.25,1740.75,1681.25,1729.25,111106
2022-06-03,1728.75,1730.5,1694.0,1697.75,86973
2022-06-06,1709.0,1717.75,1690.0,1699.25,82275
2022-06-07,1699.25,1732.75,1692.25,1728.25,147738
2022-06-08,1729.25,1758.0,1726.5,1740.0,138385
2022-06-09,1741.0,1784.0,1728.5,1769.0,172229
2022-06-10,1770.5,1775.5,1742.75,1745.5,140826
2022-06-13,1751.5,1757.0,1702.0,1707.5,125077
2022-06-14,1707.5,1728.25,1697.0,1698.5,100752
2022-06-15,1698.0,1705.0,1682.25,1693.75,101623
2022-06-16,1696.75,1715.5,1690.5,1709.5,70574
2022-06-17,1712.5,1724.5,1700.5,1702.0,84650
2022-06-21,1695.0,1702.0,1675.75,1681.0,100676
2022-06-22,1684.25,1685.0,1647.5,1652.75,102256
2022-06-23,1654.0,1655.5,1590.0,1593.25,128173
2022-06-24,1588.25,1620.5,1583.0,1610.75,92486
2022-06-27,1599.0,1636.25,1593.0,1630.5,69643
2022-06-28,1637.0,1668.25,1633.5,1663.75,59698
2022-06-29,1663.75,1684.25,1653.0,1674.25,35558
2022-06-30,1671.0,1702.75,1653.75,1675.0,6466
2022-07-01,1675.0,1683.25,1622.0,1626.0,5313
2022-07-05,1620.0,1624.25,1572.0,1575.25,2235
2022-07-06,1583.0,1596.25,1560.0,1580.25,2309
2022-07-07,1591.0,1620.0,1589.0,1591.25,744
2022-07-08,1602.25,1635.0,1596.25,1630.25,399
2022-07-11,1645.0,1660.0,1637.0,1641.0,384
2022-07-12,1650.0,1656.0,1592.5,1592.75,395
2022-07-13,1573.5,1634.5,1573.5,1588.25,60
2022-07-14,1659.75,1659.75,1561.75,1610.0,23094
2022-07-15,1477.5,1490.0,1456.25,1466.0,22609
2022-07-18,1478.25,1513.5,1465.5,1497.25,22423
2022-07-19,1498.5,1499.5,1456.0,1477.25,19403
2022-07-20,1476.0,1477.0,1446.0,1449.0,26111
2022-07-21,1449.5,1457.5,1413.5,1418.5,27254
2022-07-22,1420.0,1444.75,1407.75,1434.5,27240
